ÇinTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
5.73,68.58,29.63,63.27,DoorOPEN,PowerON,110.34,CompressorON,0.22,Wednesday 01.01.2025 -- 00:05:55,0
1.92,59.27,28.65,88.96,DoorCLOSED,PowerON,151.96,CompressorON,0.04,Wednesday 01.01.2025 -- 00:06:00,0
2.41,58.47,22.84,64.26,DoorCLOSED,PowerON,102.34,CompressorON,0.22,Wednesday 01.01.2025 -- 00:06:05,0
2.09,54.89,29.53,67.12,DoorCLOSED,PowerON,190.25,CompressorON,0.1,Wednesday 01.01.2025 -- 00:06:10,0
5.31,63.94,26.3,51.0,DoorOPEN,PowerON,103.32,CompressorON,0.36,Wednesday 01.01.2025 -- 00:06:15,0
4.66,49.03,23.05,52.47,DoorCLOSED,PowerON,25.59,CompressorOFF,0.39,Wednesday 01.01.2025 -- 00:06:20,0
4.89,66.98,21.49,55.73,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.22,Wednesday 01.01.2025 -- 00:06:25,0
5.29,58.62,30.23,60.97,DoorCLOSED,PowerON,59.19,CompressorOFF,0.02,Wednesday 01.01.2025 -- 00:06:30,0
4.0,63.27,27.6,72.45,DoorCLOSED,PowerON,91.54,CompressorON,0.75,Wednesday 01.01.2025 -- 00:06:35,0
3.85,60.16,19.33,68.23,DoorCLOSED,PowerON,33.44,CompressorOFF,0.04,Wednesday 01.01.2025 -- 00:06:40,0
4.73,74.05,18.23,73.94,DoorCLOSED,PowerON,37.07,CompressorOFF,0.26,Wednesday 01.01.2025 -- 00:06:45,0
2.58,68.34,29.56,67.85,DoorCLOSED,PowerON,107.59,CompressorON,0.32,Wednesday 01.01.2025 -- 00:06:50,0
7.67,72.38,26.45,82.96,DoorOPEN,PowerON,157.53,CompressorON,0.08,Wednesday 01.01.2025 -- 00:06:55,0
4.84,52.69,29.7,50.67,DoorCLOSED,PowerON,27.48,CompressorOFF,0.21,Wednesday 01.01.2025 -- 00:07:00,0
3.92,69.57,20.28,79.7,DoorCLOSED,PowerON,90.06,CompressorON,0.05,Wednesday 01.01.2025 -- 00:07:05,0
3.72,45.46,25.1,82.63,DoorCLOSED,PowerON,92.45,CompressorON,0.41,Wednesday 01.01.2025 -- 00:07:10,0
2.69,53.93,24.65,66.04,DoorCLOSED,PowerON,97.2,CompressorON,0.14,Wednesday 01.01.2025 -- 00:07:15,0
5.92,64.1,26.19,74.15,DoorCLOSED,PowerON,121.79,CompressorON,0.18,Wednesday 01.01.2025 -- 00:07:20,0
5.48,54.16,20.74,74.95,DoorCLOSED,PowerON,52.81,CompressorOFF,0.18,Wednesday 01.01.2025 -- 00:07:25,0
5.49,60.61,27.4,52.95,DoorOPEN,PowerON,120.0,CompressorON,0.39,Wednesday 01.01.2025 -- 00:07:30,0
4.1,73.14,22.22,82.11,DoorCLOSED,PowerON,126.34,CompressorON,0.42,Wednesday 01.01.2025 -- 00:07:35,0
2.05,73.29,22.94,63.39,DoorCLOSED,PowerON,111.41,CompressorON,0.42,Wednesday 01.01.2025 -- 00:07:40,0
1.98,64.04,28.62,81.5,DoorCLOSED,PowerON,137.85,CompressorON,0.44,Wednesday 01.01.2025 -- 00:07:45,0
3.63,54.38,23.54,81.55,DoorCLOSED,PowerON,149.37,CompressorON,0.17,Wednesday 01.01.2025 -- 00:07:50,0
3.92,61.65,28.24,84.38,DoorCLOSED,PowerON,142.26,CompressorON,0.38,Wednesday 01.01.2025 -- 00:07:55,0
10.48,87.36,28.87,85.42,DoorCLOSED,PowerON,235.47,CompressorOFF,0.96,Wednesday 01.01.2025 -- 00:08:00,1
2.12,48.46,22.42,56.03,DoorCLOSED,PowerON,99.24,CompressorON,0.12,Wednesday 01.01.2025 -- 00:08:05,0
4.83,62.23,27.0,58.93,DoorCLOSED,PowerON,55.15,CompressorOFF,0.23,Wednesday 01.01.2025 -- 00:08:10,0
2.11,71.37,30.88,62.83,DoorCLOSED,PowerON,215.11,CompressorON,0.06,Wednesday 01.01.2025 -- 00:08:15,0
3.63,57.78,21.09,72.06,DoorCLOSED,PowerON,142.71,CompressorON,0.15,Wednesday 01.01.2025 -- 00:08:20,0
3.14,71.91,19.52,76.36,DoorCLOSED,PowerON,25.0,CompressorOFF,0.31,Wednesday 01.01.2025 -- 00:08:25,0
3.81,86.12,31.29,52.25,DoorOPEN,PowerON,151.54,CompressorON,0.14,Wednesday 01.01.2025 -- 00:08:30,0
4.38,51.93,26.52,66.62,DoorCLOSED,PowerON,24.83,CompressorOFF,0.06,Wednesday 01.01.2025 -- 00:08:35,0
3.26,55.34,29.12,62.61,DoorCLOSED,PowerON,97.07,CompressorON,0.15,Wednesday 01.01.2025 -- 00:08:40,0
3.16,64.18,22.95,63.58,DoorCLOSED,PowerON,138.46,CompressorON,0.62,Wednesday 01.01.2025 -- 00:08:45,0
3.69,86.27,31.19,75.76,DoorOPEN,PowerON,119.96,CompressorON,0.3,Wednesday 01.01.2025 -- 00:08:50,0
6.21,85.09,30.99,79.13,DoorOPEN,PowerON,109.38,CompressorON,0.2,Wednesday 01.01.2025 -- 00:08:55,0
4.55,66.12,24.86,87.96,DoorCLOSED,PowerON,43.04,CompressorOFF,0.26,Wednesday 01.01.2025 -- 00:09:00,0
6.1,47.4,26.72,65.44,DoorCLOSED,PowerON,24.28,CompressorOFF,0.1,Wednesday 01.01.2025 -- 00:09:05,0
2.65,71.78,18.27,72.52,DoorCLOSED,PowerON,156.17,CompressorON,0.05,Wednesday 01.01.2025 -- 00:09:10,0
3.02,61.18,26.87,77.11,DoorCLOSED,PowerON,134.06,CompressorON,0.13,Wednesday 01.01.2025 -- 00:09:15,0
3.39,71.24,22.43,59.9,DoorCLOSED,PowerON,194.39,CompressorON,0.17,Wednesday 01.01.2025 -- 00:09:20,0
7.01,72.17,22.23,79.07,DoorCLOSED,PowerON,55.99,CompressorOFF,0.39,Wednesday 01.01.2025 -- 00:09:25,0
3.59,68.3,25.76,81.74,DoorCLOSED,PowerON,153.51,CompressorON,0.18,Wednesday 01.01.2025 -- 00:09:30,0
4.68,53.01,31.43,79.38,DoorCLOSED,PowerON,20.82,CompressorOFF,0.45,Wednesday 01.01.2025 -- 00:09:35,0
3.83,46.05,31.43,69.22,DoorCLOSED,PowerON,23.51,CompressorOFF,0.19,Wednesday 01.01.2025 -- 00:09:40,0
5.24,72.37,21.31,62.19,DoorCLOSED,PowerON,35.36,CompressorOFF,0.11,Wednesday 01.01.2025 -- 00:09:45,0
2.97,53.46,28.24,74.32,DoorCLOSED,PowerON,115.9,CompressorON,0.13,Wednesday 01.01.2025 -- 00:09:50,0
5.42,48.73,20.33,59.66,DoorCLOSED,PowerON,46.6,CompressorOFF,0.09,Wednesday 01.01.2025 -- 00:09:55,0
6.05,67.41,20.94,60.5,DoorCLOSED,PowerON,157.83,CompressorON,0.36,Wednesday 01.01.2025 -- 00:10:00,0
2.19,68.81,21.9,51.5,DoorCLOSED,PowerON,117.89,CompressorON,0.22,Wednesday 01.01.2025 -- 00:10:05,0
3.92,80.59,23.42,80.6,DoorOPEN,PowerON,110.8,CompressorON,0.33,Wednesday 01.01.2025 -- 00:10:10,0
7.7,79.18,31.94,61.49,DoorCLOSED,PowerON,250.23,CompressorOFF,1.19,Wednesday 01.01.2025 -- 00:10:15,1
4.56,58.48,31.85,50.75,DoorCLOSED,PowerON,31.76,CompressorOFF,0.41,Wednesday 01.01.2025 -- 00:10:20,0
4.14,79.77,31.57,65.25,DoorOPEN,PowerON,120.62,CompressorON,0.27,Wednesday 01.01.2025 -- 00:10:25,0
4.32,59.1,27.26,61.99,DoorCLOSED,PowerON,25.03,CompressorOFF,0.19,Wednesday 01.01.2025 -- 00:10:30,0
2.67,68.76,28.66,80.34,DoorCLOSED,PowerON,155.07,CompressorON,0.28,Wednesday 01.01.2025 -- 00:10:35,0
5.79,71.71,20.31,63.38,DoorOPEN,PowerON,131.55,CompressorON,0.53,Wednesday 01.01.2025 -- 00:10:40,0
8.28,74.39,18.47,66.5,DoorCLOSED,PowerON,27.2,CompressorOFF,0.18,Wednesday 01.01.2025 -- 00:10:45,0
3.74,62.58,29.06,67.61,DoorCLOSED,PowerON,128.27,CompressorON,0.31,Wednesday 01.01.2025 -- 00:10:50,0
4.69,71.9,21.01,74.67,DoorCLOSED,PowerON,55.29,CompressorOFF,0.06,Wednesday 01.01.2025 -- 00:10:55,0
3.51,67.93,18.1,74.51,DoorCLOSED,PowerON,140.37,CompressorON,0.98,Wednesday 01.01.2025 -- 00:11:00,0
3.19,59.24,24.22,71.23,DoorCLOSED,PowerON,151.73,CompressorON,0.36,Wednesday 01.01.2025 -- 00:11:05,0
3.4,49.37,28.34,54.62,DoorCLOSED,PowerON,124.84,CompressorON,0.27,Wednesday 01.01.2025 -- 00:11:10,0
4.25,71.45,24.46,69.93,DoorCLOSED,PowerON,23.74,CompressorOFF,0.1,Wednesday 01.01.2025 -- 00:11:15,0
3.26,58.86,25.8,72.26,DoorCLOSED,PowerON,121.68,CompressorON,1.1,Wednesday 01.01.2025 -- 00:11:20,0
2.73,59.92,19.06,74.0,DoorCLOSED,PowerON,142.42,CompressorON,0.13,Wednesday 01.01.2025 -- 00:11:25,0
8.97,81.43,33.51,74.68,DoorCLOSED,PowerON,186.54,CompressorOFF,1.12,Wednesday 01.01.2025 -- 00:11:30,1
3.9,74.98,29.43,68.27,DoorCLOSED,PowerON,58.35,CompressorOFF,0.05,Wednesday 01.01.2025 -- 00:11:35,0
3.77,47.05,21.21,56.09,DoorCLOSED,PowerON,144.4,CompressorON,0.32,Wednesday 01.01.2025 -- 00:11:40,0
4.0,73.93,23.61,63.8,DoorCLOSED,PowerON,131.55,CompressorON,0.14,Wednesday 01.01.2025 -- 00:11:45,0
7.76,89.32,31.37,68.0,DoorCLOSED,PowerON,238.58,CompressorON,1.43,Wednesday 01.01.2025 -- 00:11:50,1
3.26,49.55,21.36,89.56,DoorCLOSED,PowerON,49.03,CompressorOFF,0.35,Wednesday 01.01.2025 -- 00:11:55,0
4.0,48.91,22.54,57.76,DoorCLOSED,PowerON,35.49,CompressorOFF,0.03,Wednesday 01.01.2025 -- 00:12:00,0
3.71,45.93,28.91,58.69,DoorCLOSED,PowerON,45.43,CompressorOFF,0.07,Wednesday 01.01.2025 -- 00:12:05,0
2.35,47.12,24.53,60.63,DoorCLOSED,PowerON,179.07,CompressorON,0.36,Wednesday 01.01.2025 -- 00:12:10,0
8.99,89.42,31.87,84.95,DoorOPEN,PowerON,185.53,CompressorON,1.22,Wednesday 01.01.2025 -- 00:12:15,1
11.12,81.68,33.9,91.35,DoorOPEN,PowerON,200.3,CompressorON,0.88,Wednesday 01.01.2025 -- 00:12:20,1
1.97,71.82,21.14,80.52,DoorCLOSED,PowerON,119.95,CompressorON,0.34,Wednesday 01.01.2025 -- 00:12:25,0
2.56,45.16,30.34,76.96,DoorCLOSED,PowerON,93.44,CompressorON,0.27,Wednesday 01.01.2025 -- 00:12:30,0
4.64,62.44,22.9,71.28,DoorCLOSED,PowerON,21.93,CompressorOFF,0.13,Wednesday 01.01.2025 -- 00:12:35,0
3.05,58.08,19.42,79.95,DoorCLOSED,PowerON,39.84,CompressorOFF,0.44,Wednesday 01.01.2025 -- 00:12:40,0
3.06,66.41,24.01,87.36,DoorCLOSED,PowerON,52.71,CompressorOFF,0.12,Wednesday 01.01.2025 -- 00:12:45,0
4.17,61.17,19.01,73.93,DoorCLOSED,PowerON,153.76,CompressorON,0.02,Wednesday 01.01.2025 -- 00:12:50,0
3.48,67.37,30.42,84.02,DoorCLOSED,PowerON,134.73,CompressorON,0.06,Wednesday 01.01.2025 -- 00:12:55,0
1.82,65.67,27.93,57.93,DoorCLOSED,PowerON,96.18,CompressorON,0.45,Wednesday 01.01.2025 -- 00:13:00,0
4.36,70.17,30.96,62.03,DoorCLOSED,PowerON,33.92,CompressorOFF,0.34,Wednesday 01.01.2025 -- 00:13:05,0
2.59,59.13,19.74,81.31,DoorCLOSED,PowerON,173.53,CompressorON,1.29,Wednesday 01.01.2025 -- 00:13:10,0
4.32,67.53,24.0,80.3,DoorCLOSED,PowerON,29.28,CompressorOFF,0.42,Wednesday 01.01.2025 -- 00:13:15,0
5.01,59.83,23.54,85.84,DoorCLOSED,PowerON,34.59,CompressorOFF,0.34,Wednesday 01.01.2025 -- 00:13:20,0
3.72,74.37,25.57,81.11,DoorCLOSED,PowerON,217.96,CompressorON,1.28,Wednesday 01.01.2025 -- 00:13:25,0
3.6,70.1,23.83,66.31,DoorCLOSED,PowerON,20.78,CompressorOFF,0.35,Wednesday 01.01.2025 -- 00:13:30,0
5.31,58.54,31.1,63.56,DoorCLOSED,PowerON,22.49,CompressorOFF,0.42,Wednesday 01.01.2025 -- 00:13:35,0
11.12,77.26,25.77,64.5,DoorCLOSED,PowerON,208.05,CompressorON,0.97,Wednesday 01.01.2025 -- 00:13:40,1
3.88,70.29,22.01,52.85,DoorCLOSED,PowerON,35.82,CompressorOFF,0.32,Wednesday 01.01.2025 -- 00:13:45,0
3.66,67.81,18.99,83.57,DoorOPEN,PowerON,127.4,CompressorON,0.19,Wednesday 01.01.2025 -- 00:13:50,0
5.18,72.52,19.25,52.64,DoorCLOSED,PowerON,36.16,CompressorOFF,0.12,Wednesday 01.01.2025 -- 00:13:55,0
3.52,67.78,23.47,73.45,DoorCLOSED,PowerON,52.27,CompressorOFF,0.11,Wednesday 01.01.2025 -- 00:14:00,0
1.96,49.09,22.81,72.1,DoorCLOSED,PowerON,158.07,CompressorON,0.3,Wednesday 01.01.2025 -- 00:14:05,0
3.96,61.69,21.22,52.69,DoorCLOSED,PowerON,119.66,CompressorON,0.24,Wednesday 01.01.2025 -- 00:14:10,0
4.01,63.71,18.23,85.48,DoorCLOSED,PowerON,152.79,CompressorON,0.05,Wednesday 01.01.2025 -- 00:14:15,0
4.5,61.99,21.38,71.06,DoorCLOSED,PowerON,20.57,CompressorOFF,0.04,Wednesday 01.01.2025 -- 00:14:20,0
2.07,69.38,24.31,71.29,DoorCLOSED,PowerON,153.44,CompressorON,0.04,Wednesday 01.01.2025 -- 00:14:25,0
2.0,59.86,30.5,72.12,DoorCLOSED,PowerON,147.63,CompressorON,0.62,Wednesday 01.01.2025 -- 00:14:30,0
2.96,70.15,29.06,82.82,DoorCLOSED,PowerON,97.14,CompressorON,0.96,Wednesday 01.01.2025 -- 00:14:35,0
10.36,75.44,34.24,82.29,DoorCLOSED,PowerON,237.4,CompressorON,1.12,Wednesday 01.01.2025 -- 00:14:40,1
4.12,67.22,28.07,51.67,DoorCLOSED,PowerON,58.69,CompressorOFF,0.29,Wednesday 01.01.2025 -- 00:14:45,0
4.26,71.83,22.29,61.63,DoorCLOSED,PowerON,31.43,CompressorOFF,0.41,Wednesday 01.01.2025 -- 00:14:50,0
2.53,53.43,23.48,71.94,DoorCLOSED,PowerON,103.23,CompressorON,0.35,Wednesday 01.01.2025 -- 00:14:55,0
4.01,47.77,26.66,72.31,DoorCLOSED,PowerON,148.56,CompressorON,0.21,Wednesday 01.01.2025 -- 00:15:00,0
2.96,46.38,29.05,54.72,DoorCLOSED,PowerON,94.12,CompressorON,1.17,Wednesday 01.01.2025 -- 00:15:05,0
3.37,71.73,31.93,71.2,DoorCLOSED,PowerON,38.59,CompressorOFF,0.23,Wednesday 01.01.2025 -- 00:15:10,0
3.9,66.81,20.13,83.18,DoorCLOSED,PowerON,56.51,CompressorOFF,0.37,Wednesday 01.01.2025 -- 00:15:15,0
3.02,55.85,22.18,55.63,DoorCLOSED,PowerON,108.07,CompressorON,0.08,Wednesday 01.01.2025 -- 00:15:20,0
6.8,82.38,31.84,62.03,DoorCLOSED,PowerON,253.22,CompressorOFF,1.28,Wednesday 01.01.2025 -- 00:15:25,1
7.71,81.84,27.34,74.77,DoorCLOSED,PowerON,199.03,CompressorON,1.37,Wednesday 01.01.2025 -- 00:15:30,1
6.34,73.23,19.42,64.55,DoorOPEN,PowerON,142.97,CompressorON,0.13,Wednesday 01.01.2025 -- 00:15:35,0
3.97,52.88,24.59,52.28,DoorCLOSED,PowerON,49.41,CompressorOFF,0.19,Wednesday 01.01.2025 -- 00:15:40,0
2.86,69.5,30.07,84.74,DoorCLOSED,PowerON,112.17,CompressorON,0.4,Wednesday 01.01.2025 -- 00:15:45,0
8.19,53.03,30.56,86.16,DoorCLOSED,PowerON,22.72,CompressorOFF,0.27,Wednesday 01.01.2025 -- 00:15:50,0
5.22,53.5,23.89,83.04,DoorCLOSED,PowerON,35.31,CompressorOFF,0.2,Wednesday 01.01.2025 -- 00:15:55,0
2.1,66.1,28.0,51.48,DoorCLOSED,PowerON,121.6,CompressorON,0.12,Wednesday 01.01.2025 -- 00:16:00,0
3.43,50.42,26.46,85.1,DoorCLOSED,PowerON,37.29,CompressorOFF,0.25,Wednesday 01.01.2025 -- 00:16:05,0
3.12,68.86,25.37,85.83,DoorCLOSED,PowerON,108.67,CompressorON,0.21,Wednesday 01.01.2025 -- 00:16:10,0
5.16,54.77,23.83,80.36,DoorCLOSED,PowerON,21.76,CompressorOFF,0.26,Wednesday 01.01.2025 -- 00:16:15,0
9.23,78.16,27.32,89.02,DoorCLOSED,PowerON,242.82,CompressorON,1.16,Wednesday 01.01.2025 -- 00:16:20,1
3.01,66.74,28.2,57.74,DoorCLOSED,PowerON,57.39,CompressorOFF,0.1,Wednesday 01.01.2025 -- 00:16:25,0
3.85,66.34,28.09,72.37,DoorCLOSED,PowerON,140.64,CompressorON,0.23,Wednesday 01.01.2025 -- 00:16:30,0
4.25,76.88,28.8,76.03,DoorOPEN,PowerON,154.49,CompressorON,0.25,Wednesday 01.01.2025 -- 00:16:35,0
5.21,85.84,31.43,89.27,DoorOPEN,PowerON,155.44,CompressorON,0.08,Wednesday 01.01.2025 -- 00:16:40,0
